Player Name,Season,Matches Played,Raid Points,Super Raids,Tackle Points,Super Tackle,Total Points,Super 10s,High 5s,Team,Position,Country,Retained Young Player
Manjeet Chhillar,6,13,8,,59,5,67,,,Tamil Thalaivas,All-Rounder,Indian,Retained Elite Player
Masud Karim,3,9,3,,,,3,,,UP Yoddha,Raider,Bangladeshi,Rs 10 lakh
Meraj Sheykh,2,15,29,3,9,,38,,,Dabang Delhi,All-Rounder,Irani,Retained Elite Player
Meraj Sheykh,3,14,27,,21,,48,,,Dabang Delhi,All-Rounder,Irani,Retained Elite Player
Meraj Sheykh,4,14,63,4,12,3,75,,,Dabang Delhi,All-Rounder,Irani,Retained Elite Player
Meraj Sheykh,5,20,96,3,8,,104,,,Dabang Delhi,All-Rounder,Irani,Retained Elite Player
Mohit Chhillar,1,16,1,,35,5,36,,,Tamil Thalaivas,Defender - Right Corner,Indian,Rs 45 lakh
Mohit Chhillar,2,14,,,42,3,42,,,Tamil Thalaivas,Defender - Right Corner,Indian,Rs 45 lakh
Mohit Chhillar,3,13,,,46,2,46,,,Tamil Thalaivas,Defender - Right Corner,Indian,Rs 45 lakh
Mohit Chhillar,4,14,3,,47,3,50,,,Tamil Thalaivas,Defender - Right Corner,Indian,Rs 45 lakh
Mohit Chhillar,5,20,3,,39,4,42,,,Tamil Thalaivas,Defender - Right Corner,Indian,Rs 45 lakh
Mohit Chhillar,6,14,,,31,3,31,,,Tamil Thalaivas,Defender - Right Corner,Indian,Rs 45 lakh
Mohsen Maghsoudloujafari,5,16,41,2,6,1,47,,,UP Yoddha,All-Rounder,Irani,Rs 21 lakh
Mohsen Maghsoudloujafari,6,19,29,,27,2,56,,,UP Yoddha,All-Rounder,Irani,Rs 21 lakh
Monu Goyat,4,13,59,,4,1,63,,,Bengal Warriors,Raider,Indian,Rs 93 lakh
Monu Goyat,5,26,191,4,11,1,202,9,,Patna Pirates,Raider,Indian,Rs 93 lakh
Monu Goyat,6,20,160,3,4,0`,164,10,,Haryana Steelers,Raider,Indian,Rs 93 lakh
